place_id;lp_label;cntry;gnid;gn_name
owt_1;Antakya;TR;323779;Antakya
owt_1006;Fderik;MR;2379615;Fdérik
owt_1007;Taroudannt;MA;2529649;Taroudant
owt_1008;Essaouira;MA;2549263;Essaouira
owt_1009;Figuig;MA;2548851;Figuig (Centre)
owt_1016;Yengisar;CN;1279590;Yengisar
owt_1017;Grossschweinbarth;AT;2777593;Groß-Schweinbarth
owt_1018;Ljubljana;SI;3196359;Ljubljana
owt_1019;Celje;SI;3202781;Celje
owt_1020;Ptuj;SI;3192241;Ptuj
owt_1021;Szombathely;HU;3044310;Szombathely
owt_1022;Frankenau;AT;2779383;Frankenau
owt_1023;Sopron;HU;3045190;Sopron
owt_1024;Bruckneudorf;AT;2781361;Bruckneudorf
owt_1026;Wilfersdorf;AT;2761194;Wilfersdorf
owt_1027;Mikulov;CZ;3070720;Mikulov
owt_1028;Klodzko;PL;3096053;Kłodzko
owt_1029;Poznan;PL;3088171;Poznań
owt_103;Miran;CN;1280549;Miran
owt_1030;Bydgoszcz;PL;3102014;Bydgoszcz
owt_1031;Elblag;PL;3099759;Elbląg
owt_1032;Malbork;PL;3092472;Malbork
owt_1033;Yantarnyy;RU;2609894;Yantarnyy
owt_1034;Kaliningrad;RU;554234;Kaliningrad
owt_1035;Nida;LT;596612;Nida
owt_1036;Klaipeda;LT;598098;Klaipėda
owt_1037;Palanga;LT;596238;Palanga
owt_1038;Bad Deutsch Altenburg;AT;2782068;Bad Deutsch-Altenburg
owt_104;Khawr Rawri;OM;287575;Khawr Rawrī
owt_105;Multan;PK;1169825;Multān
owt_1061;Ulugqat;CN;1279828;Ulugqat
owt_1067;Feyzabad;AF;1142170;Fayzabad
owt_1068;Dushanbe;TJ;1221874;Dushanbe
owt_1069;Khorog;TJ;1221328;Khorugh
owt_1071;Qurghonteppa;TJ;1220747;Qŭrghonteppa
owt_1077;Mazar-e-Sharif;AF;1133616;Mazār-e Sharīf
owt_1078;Bouzov;CZ;3078885;Bouzov
owt_1080;Bochnia;PL;775758;Bochnia
owt_1081;Bratslav;UA;711459;Bratslav
owt_1082;Brzesc Kujawski;PL;3102447;Brześć Kujawski
owt_1083;Bytom;PL;3101950;Bytom
owt_1084;Chelm;PL;774558;Chełm
owt_1085;Chelmno;PL;3101795;Chełmno
owt_1086;Czersk;PL;773759;Czersk
owt_1087;Dobrzyn nad Wisla;PL;3100266;Dobrzyń nad Wisłą
owt_1089;Kazimierz Dolny;PL;769345;Kazimierz Dolny
owt_109;Narbonne;FR;2990919;Narbonne
owt_1090;Gorlitz;DE;2918987;Görlitz
owt_1091;Kosice;SK;724443;Košice
owt_1092;Leczyca;PL;3093726;Łęczyca
owt_1093;Legnica;PL;3093692;Legnica
owt_1094;Luts'k;UA;702569;Luts’k
owt_1095;Nowy Sacz;PL;763534;Nowy Sącz
owt_1096;Olkusz;PL;3090146;Olkusz
owt_1097;Opole;PL;3090048;Opole
owt_1098;Piotrkow Trybunalski;PL;3088972;Piotrków Trybunalski
owt_1099;Plock;PL;3088825;Płock
owt_1100;Przemysl;PL;761168;Przemyśl
owt_1101;Radom;PL;760778;Radom
owt_1102;Sandomierz;PL;759603;Sandomierz
owt_1103;Tongtianheyan;CN;1279858;Tongtianheyan
owt_1105;Warszawa;PL;756135;Warsaw
owt_1106;Wieliczka;PL;755889;Wieliczka
owt_1107;Zakroczym;PL;754069;Zakroczym
owt_111;Neyshabur;IR;122285;Nīshābūr
owt_1118;Kruszwica;PL;3094585;Kruszwica
owt_1119;Kalisz;PL;3096880;Kalisz
owt_112;Nusaybin;TR;303750;Nusaybin
owt_1122;Bialogard;PL;3103556;Białogard
owt_1123;Branszczyk;PL;775358;Brańszczyk
owt_1124;Brest;BY;629634;Brest
owt_1125;Bautzen;DE;2951881;Bautzen
owt_1126;Bransk;PL;775359;Brańsk
owt_1127;Drohiczyn;PL;772959;Drohiczyn
owt_1128;Cieszyn;PL;3101321;Cieszyn
owt_1129;Cottbus;DE;2939811;Cottbus
owt_1130;Czermno;PL;773795;Czermno
owt_1131;Serock;PL;759470;Serock
owt_1132;Czarlin;PL;3101193;Czarlin
owt_1133;Krasnik;PL;767623;Kraśnik
owt_1134;Pila;PL;3089033;Piła
owt_1135;Lubin;PL;3092931;Lubin
owt_1136;Wojnicz;PL;755390;Wojnicz
owt_1137;Jedrzejow;PL;770157;Jędrzejów
owt_1138;Jaromer;CZ;3074462;Jaroměř
owt_1139;Krapkowice;PL;3094788;Krapkowice
owt_114;Al-Iskandariyah;EG;361058;Alexandria
owt_1140;Miechow;PL;3092024;Miechów Charsznica
owt_1141;Gorzow Wielkopolski;PL;3098722;Gorzów Wielkopolski
owt_1142;Turek;PL;3082998;Turek
owt_1143;Pulawy;PL;760924;Puławy
owt_1144;Swoszowice;PL;3083928;Swoszowice
owt_1145;Sternberk;CZ;3065166;Šternberk
owt_1146;Olesnica;PL;3090170;Oleśnica
owt_1147;Przedborz;PL;3087994;Przedbórz
