uri	title	names
http://pleiades.stoa.org/places/256177	Gadeira/Gades/Col. Augusta Gaditana	['Gadeira', 'Gades', 'Col. Augusta Gaditana', 'Urbs Iulia Gaditana', 'Cadiz']
http://pleiades.stoa.org/places/255955	Ad Portum/Gaditanus Portus	['Ad Portum', 'Gaditanus Portus', 'Menestheos Limen']
http://pleiades.stoa.org/places/256193	(H)Asta/Col. Hasta Regia/Ligystine?	['Hasta', 'Asta', 'Col. Hasta Regia', 'Ligystine']
http://pleiades.stoa.org/places/256501	U(r)gia	['Urgia', 'Ugia', 'Caesaris Salutariensis', 'Castrum Iulium']
http://pleiades.stoa.org/places/256343	Orippo	['Orippo']
http://pleiades.stoa.org/places/256210	Hispalis/Col. Romula	['Hispalis', 'Col. Romula']
http://pleiades.stoa.org/places/256058	Carmo	['Carmo']
http://pleiades.stoa.org/places/256332	Obulcula	['Obulcula']
http://pleiades.stoa.org/places/255996	Astigi/Col. Augusta Firma	['Astigi', 'Col. Augusta Firma', 'Ecija', 'Ecija']
http://pleiades.stoa.org/places/257485	Untitled	[]
http://pleiades.stoa.org/places/256128	Corduba/Col. Patricia	['Corduba', 'Col. Patricia', 'Córdoba']
http://pleiades.stoa.org/places/255952	Ad Decumum	['Ad Decumum']
http://pleiades.stoa.org/places/265893	Epora	['Epora', 'Epora Foederatorum']
http://pleiades.stoa.org/places/266051	(S)Ucia	['Sucia', 'Ucia', 'Ouogia', 'Setia', 'Sitia', 'Stia', 'Sutia']
http://pleiades.stoa.org/places/265777	Ad Novlas	['Ad Novlas']
http://pleiades.stoa.org/places/265855	Castulo	['Castulo', 'Caesarii Iuvenales']
http://pleiades.stoa.org/places/265774	Ad Morum	['Ad Morum']
http://pleiades.stoa.org/places/265769	Ad Duo Solaria	['Ad Duo Solaria']
http://pleiades.stoa.org/places/265965	Mariana	['Mariana']
http://pleiades.stoa.org/places/265969	Mentesa	['Mentesa']
http://pleiades.stoa.org/places/265949	Libisosa	['Libisosa', 'Colonia Forum Augustum']
http://pleiades.stoa.org/places/265999	Parietinae	['Parietinae']
http://pleiades.stoa.org/places/266025	Saltigi	['Saltigi']
http://pleiades.stoa.org/places/265779	Ad Palem?	['Ad Palem']
http://pleiades.stoa.org/places/265766	Ad Aras	['Ad Aras']
http://pleiades.stoa.org/places/266018	Saetabis	['Saetabis']
http://pleiades.stoa.org/places/266052	Sucro	['Sucro']
http://pleiades.stoa.org/places/266090	Valentia	['Valentia']
http://pleiades.stoa.org/places/266021	Saguntum/Arse	['Saguntum', 'Arse']
http://pleiades.stoa.org/places/265778	Ad Novlas	['Ad Novlas']
http://pleiades.stoa.org/places/265920	Ildum	['Ildum']
http://pleiades.stoa.org/places/246439	Indibilis	['Indibilis', 'Intibilis']
http://pleiades.stoa.org/places/246369	Dertosa/Hibera Iulia Ilercavonia	['Dertosa', 'Hibera Iulia Ilercavonia']
http://pleiades.stoa.org/places/246665	Sub Saltu	['Sub Saltu']
http://pleiades.stoa.org/places/246349	Col. Tarraco	['Col. Tarraco', 'Col. Iulia Urbs Triumphalis']
http://pleiades.stoa.org/places/246551	Palfuriana	['Palfuriana']
http://pleiades.stoa.org/places/246166	Antistiana	['Antistiana']
http://pleiades.stoa.org/places/246135	(Ad) Fines	['Ad Fines', 'Fines']
http://pleiades.stoa.org/places/246192	Arrago(na)	['Arragona', 'Arrago']
http://pleiades.stoa.org/places/246576	Praetorium?	['Praetorium']
http://pleiades.stoa.org/places/246652	Seterrae	['Seterrae']
http://pleiades.stoa.org/places/246174	Aquae Voconiae	['Aquae Voconiae']
http://pleiades.stoa.org/places/246406	Gerunda	['Gerunda', 'Girona']
http://pleiades.stoa.org/places/246335	Cinniana	['Cinniana', 'Cilniana']
http://pleiades.stoa.org/places/246449	Iuncaria	['Iuncaria']
http://pleiades.stoa.org/places/246139	Ad Pyrenaeum/Summus Pyrenaeus	['Ad Pyrenaeum', 'Summus Pyrenaeus']
http://pleiades.stoa.org/places/246348	Col. Ruscino	['Col. Ruscino', 'Château Roussillon']
http://pleiades.stoa.org/places/246351	Combusta	['Combusta']
http://pleiades.stoa.org/places/148081	Forum Domitii	['Forum Domitii', 'Montbazin']
http://pleiades.stoa.org/places/148223	Ugernum	['Ugernum', 'Beaucaire']
http://pleiades.stoa.org/places/148093	Glanum	['Glanum']
http://pleiades.stoa.org/places/148027	Cabellio	['Cabellio', 'Cavaillon']
http://pleiades.stoa.org/places/147993	Apta Iulia	['Apta Iulia']
http://pleiades.stoa.org/places/148041	Catuiacia	['Catuiacia']
http://pleiades.stoa.org/places/157800	Alaunium	['Alaunium']
http://pleiades.stoa.org/places/157925	Segustero	['Segustero']
http://pleiades.stoa.org/places/167628	Alabonte	['Alabonte']
http://pleiades.stoa.org/places/167743	Druantium/*Alpis Cottia/Summae Alpes	['Druantium', 'Alpis Cottia', 'Summae Alpes', 'Alpis Iulia']
http://pleiades.stoa.org/places/383720	Ocelum	['Ocelum']
http://pleiades.stoa.org/places/383685	Lambrum	['Lambrum']
http://pleiades.stoa.org/places/383741	Placentia	['Placentia']
http://pleiades.stoa.org/places/383649	Florenti(ol)a	['Florentiola', 'Florentia']
http://pleiades.stoa.org/places/383737	Parma	['Parma']
http://pleiades.stoa.org/places/383755	Regium Lepidum	['Regium Lepidum', "Reggio nell'Emilia"]
http://pleiades.stoa.org/places/383715	Mutina	['Mutina', 'Modena']
http://pleiades.stoa.org/places/393421	Felsina/Bononia	['Felsina', 'Bononia', 'Bologna']
http://pleiades.stoa.org/places/393405	Claterna	['Claterna']
http://pleiades.stoa.org/places/393424	Forum Cornelii	['Forum Cornelii', 'Imola']
http://pleiades.stoa.org/places/393420	Faventia	['Faventia']
http://pleiades.stoa.org/places/393426	Forum Livii	['Forum Livii', 'Forlì']
http://pleiades.stoa.org/places/393397	Caesena	['Caesena']
http://pleiades.stoa.org/places/393379	Ariminum	['Ariminum']
http://pleiades.stoa.org/places/413256	Pisaurum	['Pisaurum']
http://pleiades.stoa.org/places/413129	Fanum Fortunae	['Fanum Fortunae']
http://pleiades.stoa.org/places/413149	Forum Sempronii	['Forum Sempronii']
http://pleiades.stoa.org/places/413058	Cales	['Cales']
http://pleiades.stoa.org/places/412989	Ad Aesim	['Ad Aesim']
http://pleiades.stoa.org/places/413167	Helvillum	['Helvillum']
http://pleiades.stoa.org/places/456102	Nuceria	['Nuceria']
http://pleiades.stoa.org/places/413200	Mevania	['Mevania']
http://pleiades.stoa.org/places/413380	Vicus Martis	['Vicus Martis']
http://pleiades.stoa.org/places/413225	Nequinum/Narnia	['Nequinum', 'Narnia', 'Narni', 'Narnia']
http://pleiades.stoa.org/places/413231	Ocriculum	['Ocriculum, OCRICVLVM', 'Otricoli']
http://pleiades.stoa.org/places/412998	Ad Vicesimum	['Ad Vicesimum']
http://pleiades.stoa.org/places/423025	Roma	['Roma', 'Rome', 'Rhṓmē, Rhome, Rome']
