uri	title	names
http://pleiades.stoa.org/places/138248	Burdigala	['Burdigala', 'Burdigalenses', 'Bordeaux']
http://pleiades.stoa.org/places/138599	Stomatas	['Stomatas']
http://pleiades.stoa.org/places/138593	Sirio	['Sirio']
http://pleiades.stoa.org/places/138313	Cossium	['Cossium', 'Civitas Vasatica', 'Vasates']
http://pleiades.stoa.org/places/138626	Tres Arbores	['Tres Arbores']
http://pleiades.stoa.org/places/138504	*Oscincium	['Oscincium']
http://pleiades.stoa.org/places/246662	Sotium/Scittio	['Sotium', 'Scittio']
http://pleiades.stoa.org/places/246380	Elusa	['Elusa', 'Elusates', 'Tasta', 'Eauze']
http://pleiades.stoa.org/places/246727	Vanesia	['Vanesia']
http://pleiades.stoa.org/places/246379	Elimberrum	['Elimberrum', 'Climberrum', 'Elimberrum Ausciorum Augusta', 'Auch']
http://pleiades.stoa.org/places/206893	Ad Sextum Miliarem	['Ad Sextum Miliarem']
http://pleiades.stoa.org/places/246420	Hungunverro	['Hungunverro']
http://pleiades.stoa.org/places/246260	Bucconis	['Bucconis']
http://pleiades.stoa.org/places/246136	Ad Iovem	['Ad Iovem']
http://pleiades.stoa.org/places/246694	Tolosa	['Tolosa', 'Col. Iulia Tolosa', 'Civ. Tectosagum', 'Tolosates', 'Toulouse']
http://pleiades.stoa.org/places/246137	Ad Nonum	['Ad Nonum']
http://pleiades.stoa.org/places/246143	Ad Vicesimum	['Ad Vicesimum']
http://pleiades.stoa.org/places/246381	Elusio	['Elusio', 'Elesiodulis', "Saint-Pierre-d'Alzonne, Montferrand"]
http://pleiades.stoa.org/places/246660	Sostomagus	['Sostomagus', 'Sextomagus', 'Castelnaudary']
http://pleiades.stoa.org/places/246413	Hebromagus/Eburomagus	['Hebromagus', 'Eburomagus', 'Bram']
http://pleiades.stoa.org/places/246320	Cedros	['Cedros']
http://pleiades.stoa.org/places/246294	Carcas(s)o/Col. Iulia	['Carcasso', 'Carcaso', 'Col. Iulia', 'Carcasum Volcarum Tectosagarum', 'Carcassonne']
http://pleiades.stoa.org/places/246706	Tricensimum	['Tricensimum']
http://pleiades.stoa.org/places/246720	Usuerva	['Usuerva', 'Husuerbas', 'Usuerna']
http://pleiades.stoa.org/places/246347	Col. Narbo Martius	['Col. Narbo Martius', 'Col. Iulia Paterna Claudia', 'Narbonne']
http://pleiades.stoa.org/places/148056	Col. Baeterrae	['Col. Baeterrae', 'Col. Victrix Iulia Paterna', 'Béziers']
http://pleiades.stoa.org/places/147997	Araura/Cessero	['Araura', 'Cessero', 'Saint-Thibéry', 'Cesse Rone']
http://pleiades.stoa.org/places/148202	Sextantio	['Sextantio', 'Substantion']
http://pleiades.stoa.org/places/147990	Ambrussum	['Ambrussum', 'Pont-Ambroix (Ambrussum)']
http://pleiades.stoa.org/places/148142	Nemausus	['Nemausus', 'Nîmes', 'Nemausos']
http://pleiades.stoa.org/places/148160	Pons Aerarius	['Pons Aerarius']
http://pleiades.stoa.org/places/148217	Theline/Col. Arelate/Constantina	['Theline', 'Col. Arelate', 'Constantina', 'Col. Iulia Paterna Sextanorum Arelate', 'Arles']
http://pleiades.stoa.org/places/148074	Ernaginum	['Ernaginum']
http://pleiades.stoa.org/places/148019	Bellintum	['Bellintum']
http://pleiades.stoa.org/places/148004	Avennio	['Avennio', 'Avignon']
http://pleiades.stoa.org/places/148065	Cypresseta	['Cypresseta']
http://pleiades.stoa.org/places/148054	Col. Arausio	['Col. Arausio', 'Col. Firma Iulia Arausio Secundanorum', 'Orange']
http://pleiades.stoa.org/places/167616	Ad Letoce	['Ad Letoce']
http://pleiades.stoa.org/places/167856	Novem Craris	['Novem Craris', 'Le Logis de Berre']
http://pleiades.stoa.org/places/167627	Akousion/Acunum	['Akousion', 'Acunum']
http://pleiades.stoa.org/places/167668	Batiana	['Batiana']
http://pleiades.stoa.org/places/167947	Umbennum	['Umbennum']
