collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;status;source;comment
courier;cou_1;YUNNANFU Yunnan (云南府);http://linkedplaces.org/places/cou_1;YUNNANFU Yunnan (云南府);102.71035;25.045914;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9755","names":["YUNNANFU Yunnan (云南府)"]}];;L;PA_1903;
courier;cou_10;XINDU Sichuan (新都驿);http://linkedplaces.org/places/cou_10;XINDU Sichuan (新都驿);104.160545;30.83139;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_44418","names":["XINDU Sichuan (新都驿)"]}];;Y;MDYZK;
courier;cou_12;YANSHOUYI Gansu (延寿驿);http://linkedplaces.org/places/cou_12;YANSHOUYI Gansu (延寿驿);104.620308;35.575092;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70008","names":["YANSHOUYI Gansu (延寿驿)"]}];;N;MDYZK;ANDING
courier;cou_13;PU'AN Guizhou (普安);http://linkedplaces.org/places/cou_13;PU'AN Guizhou (普安);104.649895;25.793142;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99346","names":["PU'AN Guizhou (普安)"]}];;Y;MDYZK;
courier;cou_14;JINSHANYI Sichuan (金山驿);http://linkedplaces.org/places/cou_14;JINSHANYI Sichuan (金山驿);104.749298;31.459007;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9705","names":["JINSHANYI Sichuan (金山驿)"]}];;Y;MDYZK;MIANZHOU
courier;cou_15;XINXING Guizhou (新兴驿);http://linkedplaces.org/places/cou_15;XINXING Guizhou (新兴驿);104.95208;25.78841;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99348","names":["XINXING Guizhou (新兴驿)"]}];;Y;MDYZK;
courier;cou_16;BAONINGYI Gansu (保宁驿);http://linkedplaces.org/places/cou_16;BAONINGYI Gansu (保宁驿);105.056137;35.694199;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70016","names":["BAONINGYI Gansu (保宁驿)"]}];;N;MDYZK;HUINING
courier;cou_17;WEIJIUYI Guizhou (尾酒驿);http://linkedplaces.org/places/cou_17;WEIJIUYI Guizhou (尾酒驿);105.215881;25.833469;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99338","names":["WEIJIUYI Guizhou (尾酒驿)"]}];;L;MDYZK;
courier;cou_18;CHACHENG Guizhou (查城);http://linkedplaces.org/places/cou_18;CHACHENG Guizhou (查城);105.485825;25.910208;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99021","names":["CHACHENG Guizhou (查城)"]}];;Y;MDYZK;
courier;cou_19;JINGYANG Gansu (泾阳驿);http://linkedplaces.org/places/cou_19;JINGYANG Gansu (泾阳驿);105.728821;35.524097;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_245","names":["JINGYANG Gansu (泾阳驿)"]}];;Y;MDYZK;
courier;cou_2;YANGLIN Yunnan (杨林);http://linkedplaces.org/places/cou_2;YANGLIN Yunnan (杨林);103.06189;25.220108;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_80685","names":["YANGLIN Yunnan (杨林)"]}];;L;PA_1903;
courier;cou_20;ANZHUANG Guizhou (安庄驿);http://linkedplaces.org/places/cou_20;ANZHUANG Guizhou (安庄驿);105.763557;26.054596;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99025","names":["ANZHUANG Guizhou (安庄驿)"]}];;Y;MDYZK;
courier;cou_21;WENJINYI Sichuan (问津驿);http://linkedplaces.org/places/cou_21;WENJINYI Sichuan (问津驿);105.832993;32.44389;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_44592","names":["WENJINYI Sichuan (问津驿)"]}];;Y;MDYZK;GUANGYUAN
courier;cou_22;PULIYI Guizhou (普利驿);http://linkedplaces.org/places/cou_22;PULIYI Guizhou (普利驿);105.927864;26.243244;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99030","names":["PULIYI Guizhou (普利驿)"]}];;N;MDYZK;
courier;cou_23;LONGCHENG Ningxia (隆城驿);http://linkedplaces.org/places/cou_23;LONGCHENG Ningxia (隆城驿);106.122238;35.617092;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_248","names":["LONGCHENG Ningxia (隆城驿)"]}];;Y;MDYZK;
courier;cou_24;PINGBA Guizhou (平坝驿);http://linkedplaces.org/places/cou_24;PINGBA Guizhou (平坝驿);106.260857;26.417788;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99395","names":["PINGBA Guizhou (平坝驿)"]}];;Y;MDYZK;
courier;cou_25;WEIQING Guizhou (威清驿);http://linkedplaces.org/places/cou_25;WEIQING Guizhou (威清驿);106.467621;26.556049;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99155","names":["WEIQING Guizhou (威清驿)"]}];;Y;MDYZK;
courier;cou_26;FENGXIANG Shaanxi (凤县);http://linkedplaces.org/places/cou_26;FENGXIANG Shaanxi (凤县);106.62294;33.945248;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_71071","names":["FENGXIANG Shaanxi (凤县)"]}];;N;MDYZK;
courier;cou_27;WATING Ningxia (瓦亭驿);http://linkedplaces.org/places/cou_27;WATING Ningxia (瓦亭驿);106.319969;35.691391;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_152128","names":["WATING Ningxia (瓦亭驿)"]}];;Y;MDYZK;nearest town
courier;cou_28;GAOPING Gansu (高平驿);http://linkedplaces.org/places/cou_28;GAOPING Gansu (高平驿);106.685661;35.535847;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70159","names":["GAOPING Gansu (高平驿)"]}];;Y;MDYZK;
courier;cou_29;HUANGHUA Guizhou (贵州驿);http://linkedplaces.org/places/cou_29;HUANGHUA Guizhou (贵州驿);106.709114;26.580778;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_494","names":["HUANGHUA Guizhou (贵州驿)"]}];;N;MDYZK;Guiyang f
courier;cou_3;XUNDIAN GUCHENG Yunnan (寻甸);http://linkedplaces.org/places/cou_3;XUNDIAN GUCHENG Yunnan (寻甸);103.253716;25.562204;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1574","names":["XUNDIAN GUCHENG Yunnan (寻甸)"]}];;B;PA_1903;
courier;cou_30;MIANXIAN Shaanxi (勉县);http://linkedplaces.org/places/cou_30;MIANXIAN Shaanxi (勉县);106.774803;33.137901;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_132146","names":["MIANXIAN Shaanxi (勉县)"]}];;L;PA_1903;nearest town
courier;cou_31;BAOCHENG Shaanxi (褒城);http://linkedplaces.org/places/cou_31;BAOCHENG Shaanxi (褒城);106.969261;33.20039;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_958","names":["BAOCHENG Shaanxi (褒城)"]}];;Y;MDYZK;
courier;cou_32;LONGLI Guizhou (龙里驿);http://linkedplaces.org/places/cou_32;LONGLI Guizhou (龙里驿);106.981064;26.458336;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99152","names":["LONGLI Guizhou (龙里驿)"]}];;Y;MDYZK;
courier;cou_33;CHENCANG Shaanxi (陈仓驿);http://linkedplaces.org/places/cou_33;CHENCANG Shaanxi (陈仓驿);107.140388;34.38187;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70926","names":["CHENCANG Shaanxi (陈仓驿)"]}];;Y;MDYZK;BAOJI
courier;cou_34;BAISHUI Gansu (白水驿);http://linkedplaces.org/places/cou_34;BAISHUI Gansu (白水驿);106.975792;35.429417;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_16844","names":["BAISHUI Gansu (白水驿)"]}];;Y;MDYZK;Near Baishui Zhen (not in CHGIS)
courier;cou_346;ZUNYI Guizhou (遵义);http://linkedplaces.org/places/cou_346;ZUNYI Guizhou (遵义);106.931602;27.695621;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9572","names":["ZUNYI Guizhou (遵义)"]}];;N;PA_1903;
courier;cou_35;XINTIAN Guizhou (新添驿);http://linkedplaces.org/places/cou_35;XINTIAN Guizhou (新添驿);107.239624;26.585646;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99150","names":["XINTIAN Guizhou (新添驿)"]}];;Y;MDYZK;
courier;cou_37;QIZHOU Shaanxi (岐周驿);http://linkedplaces.org/places/cou_37;QIZHOU Shaanxi (岐周驿);107.62709;34.439636;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70907","names":["QIZHOU Shaanxi (岐周驿)"]}];;Y;MDYZK;
courier;cou_38;QINGPING Guizhou (清平驿);http://linkedplaces.org/places/cou_38;QINGPING Guizhou (清平驿);107.788979;26.658318;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99088","names":["QINGPING Guizhou (清平驿)"]}];;Y;MDYZK;
courier;cou_39;YILUYI Shaanxi (宜禄驿);http://linkedplaces.org/places/cou_39;YILUYI Shaanxi (宜禄驿);107.789322;35.205441;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70215","names":["YILUYI Shaanxi (宜禄驿)"]}];;N;MDYZK;
courier;cou_4;MALONG Yunnan (马龙);http://linkedplaces.org/places/cou_4;MALONG Yunnan (马龙);103.580208;25.428434;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1575","names":["MALONG Yunnan (马龙)"]}];;B;PA_1903;
courier;cou_40;FENGQUAN Shaanxi (凤泉驿);http://linkedplaces.org/places/cou_40;FENGQUAN Shaanxi (凤泉驿);107.868492;34.361824;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1743","names":["FENGQUAN Shaanxi (凤泉驿)"]}];;Y;MDYZK;
courier;cou_42;YONG'AN Shaanxi (永安驿);http://linkedplaces.org/places/cou_42;YONG'AN Shaanxi (永安驿);108.043968;34.812748;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70259","names":["YONG'AN Shaanxi (永安驿)"]}];;Y;MDYZK;
courier;cou_43;XINPING Shaanxi (新平驿);http://linkedplaces.org/places/cou_43;XINPING Shaanxi (新平驿);108.077988;35.039658;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70862","names":["XINPING Shaanxi (新平驿)"]}];;Y;MDYZK;
courier;cou_44;TAICHENGYI Shaanxi (邰城驿);http://linkedplaces.org/places/cou_44;TAICHENGYI Shaanxi (邰城驿);108.105103;34.332054;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70252","names":["TAICHENGYI Shaanxi (邰城驿)"]}];;N;MDYZK;
courier;cou_45;PIANQIAO Guizhou (偏桥驿);http://linkedplaces.org/places/cou_45;PIANQIAO Guizhou (偏桥驿);108.118927;27.037273;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_477","names":["PIANQIAO Guizhou (偏桥驿)"]}];;Y;MDYZK;
courier;cou_46;WEISHENG Shaanxi (威胜驿);http://linkedplaces.org/places/cou_46;WEISHENG Shaanxi (威胜驿);108.235603;34.5303;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70856","names":["WEISHENG Shaanxi (威胜驿)"]}];;Y;MDYZK;
courier;cou_47;ZHENYUAN Guizhou (镇远驿);http://linkedplaces.org/places/cou_47;ZHENYUAN Guizhou (镇远驿);108.418449;27.054264;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_479","names":["ZHENYUAN Guizhou (镇远驿)"]}];;Y;MDYZK;
courier;cou_48;BAIQU Shaanxi (白渠驿);http://linkedplaces.org/places/cou_48;BAIQU Shaanxi (白渠驿);108.482605;34.298721;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70722","names":["BAIQU Shaanxi (白渠驿)"]}];;Y;MDYZK;
