collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;dataset;dataid;uses;type;role;goods;dir;dist;travmode;travtime;dataqlty;src;probl
owtrad;afr_150-230;tmcEGm0200_004a;owt_7;owt_123;Aelana_Petra (150-230);[[35,29.517],[35.433,30.333]];150,,,230,;;;tmcEGm0200;tmcEGm0200_004a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_-200-400;tmcZCEm0100_031a;owt_863;owt_1119;Konin_Kalisz (-200-400);[[18.266666,52.216667],[18.083332,51.75]];-200,,,400,;;;tmcZCEm0100;tmcZCEm0100_031a;trd;cd;maj;[A431,B000,C000];Aquilea;d000dd;nkn;t000t;QC3;Wojtowicz 1956:253;P000
owtrad;afr_1450-1500;tmcDEm1500a_003a;owt_411;owt_2964;Cologne_Koblenz (1450-1500);[[6.95,50.933334],[7.6,50.35]];1450,,,1500,;;;tmcDEm1500a;tmcDEm1500a_003a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC3;Spufford 2002:352;P000
owtrad;afr_150-230;tmcEGm0200_045a;owt_740;owt_752;loc02-tmc010103_Apollonia (150-230);[[27.233334,31.35],[21.966667,32.900002]];150,,,230,;;;tmcEGm0200;tmcEGm0200_045a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_006a;owt_114;owt_771;Alexandria_Nicopolis (150-230);[[29.9,31.2],[29.95,31.2]];150,,,230,;;;tmcEGm0200;tmcEGm0200_006a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_007a;owt_114;owt_100;Alexandria_Memphis (150-230);[[29.9,31.2],[31.25,29.866667]];150,,,230,;;;tmcEGm0200;tmcEGm0200_007a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_008a;owt_1;owt_48;Antiochia_Damascus (150-230);[[36.116669,36.233334],[36.299999,33.5]];150,,,230,;;;tmcEGm0200;tmcEGm0200_008a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_009a;owt_1;owt_130;Antiochia_Dura Europos (150-230);[[36.116669,36.233334],[40.724998,34.75]];150,,,230,;;;tmcEGm0200;tmcEGm0200_009a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_010a;owt_776;owt_779;Augila Oasis_loc06-tmc010103 (150-230);[[21.286943,29.108055],[19.583332,30.416668]];150,,,230,;;;tmcEGm0200;tmcEGm0200_010a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_011a;owt_776;owt_728;Augila Oasis_loc05-tmc010103 (150-230);[[21.286943,29.108055],[21.016666,25.616667]];150,,,230,;;;tmcEGm0200;tmcEGm0200_011a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_012a;owt_776;owt_502;Augila Oasis_Siwa Oasis (150-230);[[21.286943,29.108055],[25.666668,29.166668]];150,,,230,;;;tmcEGm0200;tmcEGm0200_012a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_013a;owt_26;owt_134;Berenice_Coptus (150-230);[[35.466667,23.916668],[32.817,26]];150,,,230,;;;tmcEGm0200;tmcEGm0200_013a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_014a;owt_23;owt_779;Berenice_loc06-tmc010103 (150-230);[[20.066668,32.116669],[19.583332,30.416668]];150,,,230,;;;tmcEGm0200;tmcEGm0200_014a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
