id;geom;collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;comment;nights
46;0101000020E61000008C2E6F0ED74A05C0F23FF9BB77CE4B40;roundabout;ra0047;Redpath, Scotland;http://linkedplaces.org/places/ra0047;Redpath;-2.661543;55.613029;;;;
1;0101000020E610000022AB5B3D27895EC0D4601A868FB84240;roundabout;ra0001;Palo Alto, CA;http://linkedplaces.org/places/ra0001;Palo Alto;-122.14302;37.44188;[{"uri":"http://sws.geonames/5380748","names":["Palo Alto"]}];;;
2;0101000020E6100000B58993FB1DD05DC07D7901F6D1CD4340;roundabout;ra0002;Fernley, NV;http://linkedplaces.org/places/ra0002;Fernley;-119.25183;39.60797;[{"uri":"http://sws.geonames/5504003","names":["Fernley"]}];;;1
3;0101000020E6100000DE8E705AF0245CC01327F73B14AD4340;roundabout;ra0003;Delta, UT;http://linkedplaces.org/places/ra0003;Delta;-112.57717;39.35218;[{"uri":"http://sws.geonames/5538080","names":["Delta"]}];;;1
4;0101000020E61000008CB96B09F9E25AC0CBA145B6F3414440;roundabout;ra0004;Craig, CO;http://linkedplaces.org/places/ra0004;Craig;-107.54645;40.51525;[{"uri":"http://sws.geonames/5576064","names":["Craig"]}];;;1
5;0101000020E610000036C8242367455AC017D4B7CCE94A4440;roundabout;ra0005;Fort Collins, CO;http://linkedplaces.org/places/ra0005;Fort Collins;-105.08442;40.58526;[{"uri":"http://sws.geonames/5577147","names":["Fort Collins"]}];;;1
6;0101000020E6100000C2172653053F5AC0516B9A779CDE4340;roundabout;ra0006;Denver, CO;http://linkedplaces.org/places/ra0006;Denver;-104.9847;39.73915;[{"uri":"http://sws.geonames/5419384","names":["Denver"]}];;;4
7;0101000020E61000005B087250C2C651C0645DDC4603304540;roundabout;ra0007;Cambridge, MA;http://linkedplaces.org/places/ra0007;Cambridge;-71.10561;42.3751;[{"uri":"http://sws.geonames/4931972","names":["Cambridge"]}];;;3
8;0101000020E610000027C286A757CA0240280AF4893C6D4840;roundabout;ra0008;Paris, France;http://linkedplaces.org/places/ra0008;Paris;2.3488;48.85341;[{"uri":"http://sws.geonames/2988507","names":["Paris"]}];;;
9;0101000020E610000048BF7D1D38E7144051BD35B0551A4740;roundabout;ra0009;Bourg-en-Bresse, France;http://linkedplaces.org/places/ra0009;Bourg-en-Bresse;5.2258;46.20574;[{"uri":"http://sws.geonames/3031009","names":["Bourg-en-Bresse"]}];;;1
10;0101000020E6100000A987687407612240C84109336DBB4640;roundabout;ra0010;Milan, Italy;http://linkedplaces.org/places/ra0010;Milan;9.18951;45.46427;[{"uri":"http://sws.geonames/3173435","names":["Milan"]}];;;1
