place_id;lp_label;cntry;gnid;gn_name
348070;Aksu;CN;1529660;Aksu
367091;Anḏaṟāb;AF;1148671;Andarāb
367081;Yuanquan;CN;1529004;Yuanquan
367108;;IN;1254710;Tezpur
360498;Attock City;PK;1184249;Attock City
355631;Ayodhya;IN;1278094;Ajodhya
367102;;IN;1278946;Alwar
345485;;AF;1133616;Mazār-e Sharīf
367085;Bāmīān;AF;1147242;Bāmyān
355463;Bharūch;IN;1276100;Bharūch
355388;Bodh Gaya;IN;1275389;Buddh Gaya
348203;Xi'an;CN;1790630;Xi’an
367090;Ruoqiang;CN;1280122;Ruoqiang
360476;Chārsadda;PK;1181439;Chārsadda
367089;Qiemo;CN;1280249;Qiemo
355104;Fīrozpur;IN;1271883;Ferozepore
367113;Amarāvati;IN;1278917;Amaravati
345479;Faizabad;AF;1142170;Fayzabad
348065;Hami;CN;1529484;Hami
367109;;IN;1276609;Begusarai
354824;Jalandhar;IN;1268782;Jalandhar
354770;Kānchipuram;IN;1268159;Kānchipuram
354759;Kannauj;IN;1268011;Kannauj
367103;;NP;1283562;Butwāl
367083;Bagrām;AF;1147513;Bagrām
367087;Yanqi;CN;1529031;Yanqi
348056;Kashi;CN;1280849;Kashgar
348058;Hotan;CN;1281019;Hotan
348063;Kuqa;CN;1529363;Kuqa
345465;Kondūz;AF;1135689;Kunduz
367104;;IN;1273193;Deoria
367082;Wuwei;CN;1803936;Wuwei
367095;Rummin-dei;NP;1282839;Rummin-dei
354407;Mathura;IN;1263364;Mathura
354448;Mandāwar;IN;1263879;Mandāwar
360317;Multān;PK;1169825;Multān
354254;Nāsik;IN;1261731;Nashik
367098;Minfeng;CN;1280555;Niya
367110;;PK;1164909;Sialkot
354119;Patna;IN;1260086;Patna
360292;Peshāwar;PK;1168197;Peshawar
355730;Allahābād;IN;1278994;Allahābād
360248;Siālkot;PK;1164909;Sialkot
366553;Samarqand;UZ;1216265;Samarqand
367111;;BD;1205733;Chittagong
367093;Sankāsya;IN;1257373;Sankāsya
367092;Garhi Shāhbāz;PK;7074006;Garhi Shāhbāz
353703;Srīnagar;IN;1255634;Srinagar
367105;;IN;1270996;Gondā City
367106;;IN;1257806;Sahāranpur
353661;Tamlūk;IN;1255046;Tamlūk
366587;Tashkent;UZ;1512569;Tashkent
367099;Taxkorgan;CN;1279901;Taxkorgan
367112;;CN;1280016;Shazaoyuan
357565;Tokmok;KG;1527199;Tokmok
367100;Dunhuang;CN;1529531;Dunhuang
348060;Turpan;CN;1529114;Turpan
367107;;IN;1260086;Patna
348053;Shache;CN;1280037;Shache
