collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;geonames_id;status;comment;source
xuanzang;367108;Assam;http://linkedplaces.org/places/367108;Assam;92.99280879;26.61932794;;;;;;Wri98
xuanzang;367102;Bairata;http://linkedplaces.org/places/367102;Bairata;76.1791307;27.43189313;;;;;;Wri98
xuanzang;367109;Irana;http://linkedplaces.org/places/367109;Irana;86.20629004;25.29743813;;;;;;Wri98
xuanzang;367103;Kapilavastu;http://linkedplaces.org/places/367103;Kapilavastu;83.052627;27.54823278;;;;;;Wri98
xuanzang;367104;Kusinagara;http://linkedplaces.org/places/367104;Kusinagara;83.89122334;26.74251508;;;;;;Wri98
xuanzang;367086;Ajanta;http://linkedplaces.org/places/367086;Ajanta Caves;75.75275531;20.53237101;[{"uri":"http://api.geonames.org/getJSON?geonameId=1279179&username=kgeographer&style=full","names":["Ajanta Caves"]}];;1279179;;;Wri98
xuanzang;367084;Darel;http://linkedplaces.org/places/367084;Darēl;73.7358931;35.56878532;[{"uri":"http://api.geonames.org/getJSON?geonameId=7096609&username=kgeographer&style=full","names":["Darēl"]}];;7096609;;;Wri98
xuanzang;367088;Kausambi;http://linkedplaces.org/places/367088;Kaushambi;81.39864004;25.3637343;[{"uri":"http://api.geonames.org/getJSON?geonameId=1267401&username=kgeographer&style=full","names":["Kaushambi"]}];;1267401;;;Wri98
xuanzang;367097;Loulan;http://linkedplaces.org/places/367097;Loulan Yiji;90.07035644;39.94472019;[{"uri":"http://api.geonames.org/getJSON?geonameId=1529336&username=kgeographer&style=full","names":["Loulan Yiji"]}];;1529336;;;Wri98
xuanzang;345485;Balkh;http://linkedplaces.org/places/345485;Balkh;66.89211509;36.76518216;[{"uri":"http://api.geonames.org/getJSON?geonameId=1147290&username=kgeographer&style=full","names":["Balkh"]}];;1147290;;;Wri98
xuanzang;348070;Aksu;http://linkedplaces.org/places/348070;Aksu;80.34729588;41.20859264;[{"uri":"http://api.geonames.org/getJSON?geonameId=1529660&username=kgeographer&style=full","names":["Aksu"]}];;1529660;;;Wri98
xuanzang;367091;Andarab;http://linkedplaces.org/places/367091;Anḏaṟāb;67.08765628;35.79892351;[{"uri":"http://api.geonames.org/getJSON?geonameId=1148671&username=kgeographer&style=full","names":["Andarāb"]}];;1148671;;;Wri98
xuanzang;367081;An-hsi;http://linkedplaces.org/places/367081;Yuanquan;95.83147413;40.49605269;[{"uri":"http://api.geonames.org/getJSON?geonameId=1529004&username=kgeographer&style=full","names":["Yuanquan"]}];;1529004;;;Wri98
xuanzang;360498;Attock;http://linkedplaces.org/places/360498;Attock City;72.36522883;33.76352101;[{"uri":"http://api.geonames.org/getJSON?geonameId=1184249&username=kgeographer&style=full","names":["Attock City"]}];;1184249;;;Wri98
xuanzang;355631;Ayodhya;http://linkedplaces.org/places/355631;Ayodhya;82.19801109;26.80035299;[{"uri":"http://api.geonames.org/getJSON?geonameId=1278094&username=kgeographer&style=full","names":["Ajodhya"]}];;1278094;;;Wri98
