id;geom;collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;geonames_id;status;comment;source
5;0101000020E6100000CE0EE12D8A3F57408FCC9F468C9E3A40;xuanzang;367108;Assam;http://linkedplaces.org/places/367108;Assam;92.99280879;26.61932794;;;;;;Wri98
8;0101000020E61000006A8D9CE0760B534092B7548C906E3B40;xuanzang;367102;Bairata;http://linkedplaces.org/places/367102;Bairata;76.1791307;27.43189313;;;;;;Wri98
22;0101000020E610000098D223DB338D5540F3EEC0E7244C3940;xuanzang;367109;Irana;http://linkedplaces.org/places/367109;Irana;86.20629004;25.29743813;;;;;;Wri98
26;0101000020E6100000BEF8A23D5EC35440F6B1C4FB588C3B40;xuanzang;367103;Kapilavastu;http://linkedplaces.org/places/367103;Kapilavastu;83.052627;27.54823278;;;;;;Wri98
34;0101000020E6100000D7AE9ECD09F954400763E17715BE3A40;xuanzang;367104;Kusinagara;http://linkedplaces.org/places/367104;Kusinagara;83.89122334;26.74251508;;;;;;Wri98
1;0101000020E6100000C8959B242DF05240DA496D7749883440;xuanzang;367086;Ajanta;http://linkedplaces.org/places/367086;Ajanta Caves;75.75275531;20.53237101;[{"uri":"http://sws.geonames/1279179","names":["Ajanta Caves"]}];;1279179;;;Wri98
18;0101000020E610000088765FDF186F524026EC15F5CDC84140;xuanzang;367084;Darel;http://linkedplaces.org/places/367084;Darēl;73.7358931;35.56878532;[{"uri":"http://sws.geonames/7096609","names":["Darēl"]}];;7096609;;;Wri98
30;0101000020E610000046AB835183595440F7EEEAB01D5D3940;xuanzang;367088;Kausambi;http://linkedplaces.org/places/367088;Kaushambi;81.39864004;25.3637343;[{"uri":"http://sws.geonames/1267401","names":["Kaushambi"]}];;1267401;;;Wri98
36;0101000020E61000003B374CB880845640E0F55797ECF84340;xuanzang;367097;Loulan;http://linkedplaces.org/places/367097;Loulan Yiji;90.07035644;39.94472019;[{"uri":"http://sws.geonames/1529336","names":["Loulan Yiji"]}];;1529336;;;Wri98
9;0101000020E61000005CF4E36918B950406157307DF1614240;xuanzang;345485;Balkh;http://linkedplaces.org/places/345485;Balkh;66.89211509;36.76518216;[{"uri":"http://sws.geonames/1147290","names":["Balkh"]}];;1147290;;;Wri98
2;0101000020E6100000ADA87F183A1654403F7EE329B39A4440;xuanzang;348070;Aksu;http://linkedplaces.org/places/348070;Aksu;80.34729588;41.20859264;[{"uri":"http://sws.geonames/1529660","names":["Aksu"]}];;1529660;;;Wri98
3;0101000020E6100000E6F815299CC550404FBA252043E64140;xuanzang;367091;Andarab;http://linkedplaces.org/places/367091;Anḏaṟāb;67.08765628;35.79892351;[{"uri":"http://sws.geonames/1148671","names":["Andarāb"]}];;1148671;;;Wri98
4;0101000020E61000007CF444DF36F55740485290A77E3F4440;xuanzang;367081;An-hsi;http://linkedplaces.org/places/367081;Yuanquan;95.83147413;40.49605269;[{"uri":"http://sws.geonames/1529004","names":["Yuanquan"]}];;1529004;;;Wri98
6;0101000020E6100000021ABEE85F17524023E1730EBBE14040;xuanzang;360498;Attock;http://linkedplaces.org/places/360498;Attock City;72.36522883;33.76352101;[{"uri":"http://sws.geonames/1184249","names":["Attock City"]}];;1184249;;;Wri98
