collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches
bordeaux;bor_179;paramuole;http://linkedplaces.org/places/bor_179;Paramuole;25.047069;42.198004;[{"uri":"http://pleiades.stoa.org/places/216920","names":['Parambole']}];
bordeaux;bor_47;dea vocontiorum;http://linkedplaces.org/places/bor_47;Dea Vocontiorum;5.37102;44.75216;[{"uri":"http://pleiades.stoa.org/places/167716","names":['Col. Dea Vocontiorum', 'Vocontii', 'Die']}];
bordeaux;bor_239;iogola;http://linkedplaces.org/places/bor_239;Iogola;33.711367;38.871019;[{"uri":"http://pleiades.stoa.org/places/619232","names":['Ozzala', 'Ozizala', 'Iogola']}];
bordeaux;bor_180;cillio;http://linkedplaces.org/places/bor_180;Cillio;25.2261151;42.216088;[{"uri":"http://pleiades.stoa.org/places/216767","names":['Cillis']}];
bordeaux;bor_125;maurianis;http://linkedplaces.org/places/bor_125;Maurianis;18.161;45.759;[{"uri":"http://pleiades.stoa.org/places/197370","names":['Marinianis', 'Magniana']}];
bordeaux;bor_240;nitalis;http://linkedplaces.org/places/bor_240;Nitalis;33.912591;38.709571;[{"uri":"http://pleiades.stoa.org/places/619220","names":['Nitazi', 'Nitalis']}];
bordeaux;bor_181;carassura;http://linkedplaces.org/places/bor_181;Carassura;25.385306;42.240488;[{"uri":"http://pleiades.stoa.org/places/216750","names":['Carassura']}];
bordeaux;bor_48;luco;http://linkedplaces.org/places/bor_48;Luco;5.4515;44.6157;[{"uri":"http://pleiades.stoa.org/places/167815","names":['Lucus Augusti']}];
bordeaux;bor_241;argustana;http://linkedplaces.org/places/bor_241;Argustana;34.032157;38.566309;[{"uri":"http://pleiades.stoa.org/places/619115","names":['Argustana']}];
bordeaux;bor_49;vologatis;http://linkedplaces.org/places/bor_49;Vologatis;5.5596675;44.5719477;[{"uri":"http://pleiades.stoa.org/places/167978","names":['Vologatae']}];
bordeaux;bor_182;arzo;http://linkedplaces.org/places/bor_182;Arzo;25.870228;42.077569;[{"uri":"http://pleiades.stoa.org/places/216714","names":['Arzus']}];
bordeaux;bor_126;serena;http://linkedplaces.org/places/bor_126;Serena;18.064;45.751;[{"uri":"http://pleiades.stoa.org/places/197507","names":['Serena']}];
bordeaux;bor_242;colonia;http://linkedplaces.org/places/bor_242;Colonia;34.028835;38.374149;[{"uri":"http://pleiades.stoa.org/places/619164","names":['Garsaura', 'Col. Claudia Archelais', 'Koloneia']}];
bordeaux;bor_183;palae;http://linkedplaces.org/places/bor_183;Palae;26.094954;41.933492;[{"uri":"http://pleiades.stoa.org/places/501384","names":['Castra Iarba']}];
bordeaux;bor_127;vereis;http://linkedplaces.org/places/bor_127;Vereis;18.267;45.731;[{"uri":"http://pleiades.stoa.org/places/197576","names":['Vereis']}];
bordeaux;bor_243;momoasson;http://linkedplaces.org/places/bor_243;Momoasson;34.167749;38.41672;[{"uri":"http://pleiades.stoa.org/places/619212","names":['Momasson']}];
bordeaux;bor_50;cambono;http://linkedplaces.org/places/bor_50;Cambono;5.684937;44.530062;[{"uri":"http://pleiades.stoa.org/places/167697","names":['Cambonum']}];
bordeaux;bor_185;rhamis;http://linkedplaces.org/places/bor_185;Rhamis;26.2019433;41.7654876;[{"uri":"http://pleiades.stoa.org/places/501381","names":['Bourdepa']}];
bordeaux;bor_244;anathiango;http://linkedplaces.org/places/bor_244;Anathiango;34.3497935;38.398047;[{"uri":"http://pleiades.stoa.org/places/619218","names":['Nandianulus', 'Nazianzos', 'Nadiandos']}];
bordeaux;bor_51;monte seleuci;http://linkedplaces.org/places/bor_51;Monte Seleuci;5.75141;44.457432;[{"uri":"http://pleiades.stoa.org/places/167836","names":['Mons Seleucus']}];
bordeaux;bor_128;ioualia;http://linkedplaces.org/places/bor_128;Ioualia;18.4171;45.6589;[{"uri":"http://pleiades.stoa.org/places/197325","names":['Iovalia']}];
bordeaux;bor_186;burdista;http://linkedplaces.org/places/bor_186;Burdista;26.823461;41.549461;[{"uri":"http://pleiades.stoa.org/places/501526","names":['Nike']}];
bordeaux;bor_245;chusa;http://linkedplaces.org/places/bor_245;Chusa;34.448556;38.376942;[{"uri":"http://pleiades.stoa.org/places/619139","names":['Chusa']}];
bordeaux;bor_129;mersella;http://linkedplaces.org/places/bor_129;Mersella;18.5369372;45.6163502;[{"uri":"http://pleiades.stoa.org/places/197391","names":['Mursella', 'Mursa Minor', 'Mersella']}];
bordeaux;bor_52;dauiano;http://linkedplaces.org/places/bor_52;Dauiano;5.8211;44.5337;[{"uri":"http://pleiades.stoa.org/places/167738","names":['Davianum']}];
bordeaux;bor_187;daphabae;http://linkedplaces.org/places/bor_187;Daphabae;27.354053;41.846659;[{"uri":"http://pleiades.stoa.org/places/511428","names":['Tarpodizo']}];
bordeaux;bor_246;sasima;http://linkedplaces.org/places/bor_246;Sasima;34.6292035;38.2298035;[{"uri":"http://pleiades.stoa.org/places/619256","names":['Sasima']}];
bordeaux;bor_130;mursa;http://linkedplaces.org/places/bor_130;Mursa;18.6758848;45.5600028;[{"uri":"http://pleiades.stoa.org/places/197389","names":['Mursa', 'Osijek']}];
bordeaux;bor_53;ad finem;http://linkedplaces.org/places/bor_53;Ad Finem;5.958459;44.563424;[{"uri":"http://pleiades.stoa.org/places/167615","names":['Ad Finem']}];
bordeaux;bor_188;nicae;http://linkedplaces.org/places/bor_188;Nicae;27.238012;41.41929;[{"uri":"http://pleiades.stoa.org/places/511458","names":['Urisio']}];
bordeaux;bor_247;andauilis;http://linkedplaces.org/places/bor_247;Andauilis;34.67349;38.0394955;[{"uri":"http://pleiades.stoa.org/places/619104","names":['Andabalis']}];
bordeaux;bor_54;vappinco;http://linkedplaces.org/places/bor_54;Vappinco;6.0781;44.55823;[{"uri":"http://pleiades.stoa.org/places/167954","names":['Vappincum']}];
bordeaux;bor_131;leutuoano;http://linkedplaces.org/places/bor_131;Leutuoano;18.856;45.422;[{"uri":"http://pleiades.stoa.org/places/197065","names":['Ad Labores Pontis Ulcae', 'Leutuoano']}];
bordeaux;bor_11;ad sextum;http://linkedplaces.org/places/bor_11;Ad Sextum;0.733189;43.64785;[{"uri":"http://pleiades.stoa.org/places/246141","names":[]}];
bordeaux;bor_189;tarpodizo;http://linkedplaces.org/places/bor_189;Tarpodizo;27.36121;41.41621;[{"uri":"http://pleiades.stoa.org/places/511185","names":[' Bergoule', ' Bergule', 'Arkadioupolis']}];
bordeaux;bor_55;catorigas;http://linkedplaces.org/places/bor_55;Catorigas;6.275977;44.544438;[{"uri":"http://pleiades.stoa.org/places/167701","names":['Caturigomagus']}];
bordeaux;bor_132;cibalis;http://linkedplaces.org/places/bor_132;Cibalis;18.8010483;45.2910248;[{"uri":"http://pleiades.stoa.org/places/197207","names":['Cibalae']}];
bordeaux;bor_190;vrisio;http://linkedplaces.org/places/bor_190;Vrisio;27.469038;41.346417;[{"uri":"http://pleiades.stoa.org/places/511331","names":['Narco']}];
bordeaux;bor_56;ebreduno;http://linkedplaces.org/places/bor_56;Ebreduno;6.495055;44.562348;[{"uri":"http://pleiades.stoa.org/places/167750","names":['Eburodunum', 'Ebrudunum', 'Ebrodunum']}];
bordeaux;bor_133;caelena;http://linkedplaces.org/places/bor_133;Caelena;18.985;45.215;[{"uri":"http://pleiades.stoa.org/places/197204","names":['Causilena']}];
bordeaux;bor_191;virgoles;http://linkedplaces.org/places/bor_191;Virgoles;27.543955;41.300089;[{"uri":"http://pleiades.stoa.org/places/511241","names":[' Drousipara', ' Drusipara']}];
bordeaux;bor_142;singiduno;http://linkedplaces.org/places/bor_142;Singiduno;20.4503;44.8236;[{"uri":"http://pleiades.stoa.org/places/207443","names":['Singidunum', 'Beograd']}];
bordeaux;bor_258;tardequeia;http://linkedplaces.org/places/bor_258;Tardequeia;35.88579;36.93717;[{"uri":"http://pleiades.stoa.org/places/658610","names":['Tardequeia']}];
bordeaux;bor_80;tellegate;http://linkedplaces.org/places/bor_80;Tellegate;9.85393;45.62681;[{"uri":"http://pleiades.stoa.org/places/383796","names":['Tellegate']}];
bordeaux;bor_2;stomatas;http://linkedplaces.org/places/bor_2;Stomatas;-0.527753;44.68148;[{"uri":"http://pleiades.stoa.org/places/138599","names":['Stomatas']}];
bordeaux;bor_259;catauolo;http://linkedplaces.org/places/bor_259;Catauolo;35.98137;36.91741;[{"uri":"http://pleiades.stoa.org/places/658506","names":['Katabolos', 'Moutloubake']}];
