id;geom;collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;status;source;comment
1;0101000020E6100000ACADD85F76AD5940B56D1805C10B3940;courier;cou_1;YUNNANFU Yunnan (云南府);http://linkedplaces.org/places/cou_1;YUNNANFU Yunnan (云南府);102.71035;25.045914;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9755","names":["YUNNANFU Yunnan (云南府)"]}];;L;PA_1903;
2;0101000020E61000005322895E460A5A40B0389CF9D5D43E40;courier;cou_10;XINDU Sichuan (新都驿);http://linkedplaces.org/places/cou_10;XINDU Sichuan (新都驿);104.160545;30.83139;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_44418","names":["XINDU Sichuan (新都驿)"]}];;Y;MDYZK;
3;0101000020E61000009E5C5320B3275A407A185A9D9CC94140;courier;cou_12;YANSHOUYI Gansu (延寿驿);http://linkedplaces.org/places/cou_12;YANSHOUYI Gansu (延寿驿);104.620308;35.575092;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70008","names":["YANSHOUYI Gansu (延寿驿)"]}];;N;MDYZK;ANDING
4;0101000020E61000005FB532E197295A408315A75A0BCB3940;courier;cou_13;PU'AN Guizhou (普安);http://linkedplaces.org/places/cou_13;PU'AN Guizhou (普安);104.649895;25.793142;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99346","names":["PU'AN Guizhou (普安)"]}];;Y;MDYZK;
5;0101000020E6100000533D997FF42F5A4094A2957B81753F40;courier;cou_14;JINSHANYI Sichuan (金山驿);http://linkedplaces.org/places/cou_14;JINSHANYI Sichuan (金山驿);104.749298;31.459007;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9705","names":["JINSHANYI Sichuan (金山驿)"]}];;Y;MDYZK;MIANZHOU
6;0101000020E61000003ECBF3E0EE3C5A40E0D6DD3CD5C93940;courier;cou_15;XINXING Guizhou (新兴驿);http://linkedplaces.org/places/cou_15;XINXING Guizhou (新兴驿);104.95208;25.78841;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99348","names":["XINXING Guizhou (新兴驿)"]}];;Y;MDYZK;
7;0101000020E61000001EC6A4BF97435A403CF54883DBD84140;courier;cou_16;BAONINGYI Gansu (保宁驿);http://linkedplaces.org/places/cou_16;BAONINGYI Gansu (保宁驿);105.056137;35.694199;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70016","names":["BAONINGYI Gansu (保宁驿)"]}];;N;MDYZK;HUINING
8;0101000020E6100000FAB48AFED04D5A40D63A71395ED53940;courier;cou_17;WEIJIUYI Guizhou (尾酒驿);http://linkedplaces.org/places/cou_17;WEIJIUYI Guizhou (尾酒驿);105.215881;25.833469;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99338","names":["WEIJIUYI Guizhou (尾酒驿)"]}];;L;MDYZK;
9;0101000020E610000012A5BDC1175F5A40BD8E386403E93940;courier;cou_18;CHACHENG Guizhou (查城);http://linkedplaces.org/places/cou_18;CHACHENG Guizhou (查城);105.485825;25.910208;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99021","names":["CHACHENG Guizhou (查城)"]}];;Y;MDYZK;
10;0101000020E6100000D5E8D500A56E5A404277499C15C34140;courier;cou_19;JINGYANG Gansu (泾阳驿);http://linkedplaces.org/places/cou_19;JINGYANG Gansu (泾阳驿);105.728821;35.524097;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_245","names":["JINGYANG Gansu (泾阳驿)"]}];;Y;MDYZK;
11;0101000020E6100000C47C7901F6C35940859675FF58383940;courier;cou_2;YANGLIN Yunnan (杨林);http://linkedplaces.org/places/cou_2;YANGLIN Yunnan (杨林);103.06189;25.220108;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_80685","names":["YANGLIN Yunnan (杨林)"]}];;L;PA_1903;
12;0101000020E610000071E82D1EDE705A400F7EE200FA0D3A40;courier;cou_20;ANZHUANG Guizhou (安庄驿);http://linkedplaces.org/places/cou_20;ANZHUANG Guizhou (安庄驿);105.763557;26.054596;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99025","names":["ANZHUANG Guizhou (安庄驿)"]}];;Y;MDYZK;
