place_id;lp_label;cntry;gnid;gn_name
60001;Abydos;TR;11395741;Abydos
60002;Acre;IL;295721;‘Akko
60003;Agde;FR;3038638;Agde
60004;Aigues-Mortes;FR;3038493;Aigues-Mortes
60005;Alexandria;EG;361058;Alexandria
60006;Alger;DZ;2507480;Algiers
60013;Annaba;DZ;2506999;Annaba
60007;Antwerp;BE;2803138;Antwerpen
60110;Barcelona;ES;3128760;Barcelona
60010;Bayonne;FR;3034475;Bayonne
60011;Beirut;LB;276781;Beirut
60015;Brabant;NL;2752783;Klein-Brabant
60016;Brugge;BE;2800931;Brugge
60014;Béjaïa;DZ;2505329;Bejaïa
60019;Cadix;ES;2520600;Cadiz
60020;Caffa;UA;709161;Feodosiya
60025;Chios;GR;259973;Chios
60028;Collioure;FR;3024314;Collioure
60029;Constantinople;TR;745044;İstanbul
60030;Corfu;GR;2463679;Corfu
60032;Crotone;IT;2524881;Crotone
60035;Damas;SY;170654;Damascus
60036;Djerba;TN;2470384;Houmt Souk
60037;Dune;FR;3020686;Dunkerque
60038;Durazzo;AL;3185728;Durrës
60039;England;GB;2656333;Barking
60040;Episkopi;CY;146633;Episkopí
60041;Famagosta;CY;146617;Famagusta
60043;Gaete;IT;3176438;Gaeta
60044;Gallipoli;TR;746983;Gelibolu
60045;Genoa;IT;3176219;Genoa
60046;Granada;ES;2517117;Granada
60066;Honaine;DZ;2493812;Honaïne tadjeras
60047;Jaffa;IL;293253;Yafo
60048;Jerusalem;IL;7498240;West Jerusalem
60049;Laodicée;SY;173576;Latakia
60050;Lemesos;CY;146384;Limassol
60051;Lisbon;PT;2267057;Lisbon
60053;London;GB;2643743;London
60055;Malaga;ES;2514256;Málaga
60054;Mallorca;ES;2512989;Palma
60056;Marseille;FR;2995469;Marseille
60058;Messina;IT;2524170;Messina
60061;Monemvasia;GR;256795;Monemvasía
60062;Montpellier;FR;2992166;Montpellier
60063;Napoli;IT;3172394;Naples
60065;Nicosie;CY;146268;Nicosia
60067;Oran;DZ;2485926;Oran
60068;Palermo;IT;2523920;Palermo
60069;Paphos;CY;146214;Paphos
60070;Patras;GR;255683;Pátra
60071;Piombino;IT;3170674;Piombino
60072;Pisa;IT;3170647;Pisa
60075;Pula;HR;3192224;Pula
60076;Ragusa;HR;3201047;Dubrovnik
60077;Rama;PS;284889;Ar Rāmah
60078;Reggio Calabre;IT;2523630;Reggio Calabria
60079;Rhodes;GR;400666;Ródos
60114;Rovigno;HR;3191518;Rovinj
60081;Salines;CY;146400;Larnaca
60083;Sandwich;GB;2638542;Sandwich
60082;Sanlucar de Barrameda;ES;2511306;Sanlúcar de Barrameda
60084;Savona;IT;3167022;Savona
60085;Sevilla;ES;2510911;Sevilla
60086;Sfax;TN;2467454;Sfax
60089;Sinop;TR;739600;Sinop
60092;Siracusa;IT;2523083;Siracusa
60090;Sluis;NL;2747117;Sluis
60091;Southampton;GB;2637487;Southampton
60096;Tenedos;TR;320700;Bozcaada
60097;Thessaloniki;GR;734077;Thessaloníki
60098;Tortosa;ES;3107677;Tortosa
60099;Trabzon;TR;738648;Trabzon
60102;Tunis;TN;2464470;Tunis
60103;Valentia;ES;2509954;Valencia
60104;Venice;IT;3164603;Venice
60106;Zara;HR;3186952;Zadar
