id;geom;collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;pleiades_id;geonames_id;notes
28;0101000020E6100000CDCCCCCCCCCC40400000000000404640;incanto;60024;Cembalo;http://linkedplaces.org/places/60024;Cembalo;33.6;44.5;;;226770;;Symbolen Limen; modern Balaklava
12;0101000020E61000007638BA4A77770140213D450E11B14440;incanto;60110;Barcelone;http://linkedplaces.org/places/60110;Barcelona;2.183333;41.383333;[{"uri":"http://sws.geonames/3128760","names":["Barcelona"]}];;246343;;
36;0101000020E6100000BE8575E3DD1D3140BBD6DEA7AA8A4340;incanto;60032;Cotrone;http://linkedplaces.org/places/60032;Crotone;17.116667;39.083333;[{"uri":"http://sws.geonames/2524881","names":["Crotone"]}];;452317;;
38;0101000020E610000046EC1340312642409F05A1BC8FC14040;incanto;60035;Damas;http://linkedplaces.org/places/60035;Damas;36.298378;33.512199;[{"uri":"http://sws.geonames/170654","names":["Damascus"]}];;678106;;Damascus
39;0101000020E61000003333333333B325406666666666E64040;incanto;60036;Djerba;http://linkedplaces.org/places/60036;Djerba;10.85;33.8;[{"uri":"http://sws.geonames/2470384","names":["Houmt Souk"]}];;344383;;Girba
40;0101000020E61000008FC2F5285C8F02406666666666864940;incanto;60037;Dune;http://linkedplaces.org/places/60037;Dune;2.32;51.05;[{"uri":"http://sws.geonames/3020686","names":["Dunkerque"]}];;;3020686;Dunkirk?
41;0101000020E61000004DA3C9C5187833406B6281AFE8A64440;incanto;60038;Durazzo;http://linkedplaces.org/places/60038;Durazzo;19.469128;41.303976;[{"uri":"http://sws.geonames/3185728","names":["Durrës"]}];;481818;;Dyrrachium
9;0101000020E61000007AC8940F41E54140B45BCB6438624240;incanto;60008;Armenia;http://linkedplaces.org/places/60008;Armenia;35.791048;36.767346;;;;;A country
10;0101000020E6100000F6285C8FC23546404C37894160454040;incanto;60009;Babylone;http://linkedplaces.org/places/60009;Babylone;44.42;32.542;;;893951;;
11;0101000020E6100000C3F5285C8FC2F13F0000000000404240;incanto;60113;Barbarie;http://linkedplaces.org/places/60113;Barbarie;1.11;36.5;;;;;A region? Barbary Coast
42;0101000020E61000001BBE8575E3DDBDBF0000000000C04940;incanto;60039;England;http://linkedplaces.org/places/60039;England;-0.116667;51.5;[{"uri":"http://sws.geonames/2656333","names":["Barking"]}];;;;A country
43;0101000020E61000005FEB5223F46F40408942CBBA7F544140;incanto;60040;Episkopi;http://linkedplaces.org/places/60040;Episkopi;32.874638;34.660148;[{"uri":"http://sws.geonames/146633","names":["Episkopí"]}];;;;probably Kourion
44;0101000020E61000009A99999999F94040DFC2BAF1EE8E4140;incanto;60041;Famagosta;http://linkedplaces.org/places/60041;Famagosta;33.95;35.116667;[{"uri":"http://sws.geonames/146617","names":["Famagusta"]}];;;146617;
15;0101000020E610000000000000000041400000000000804540;incanto;60012;Black.Sea;http://linkedplaces.org/places/60012;Black Sea;34;43;;;;;A sea
46;0101000020E61000005721E527D5262B40672618CE359C4440;incanto;60043;Gaete;http://linkedplaces.org/places/60043;Gaete;13.575845;41.220392;[{"uri":"http://sws.geonames/3176438","names":["Gaeta"]}];;432734;;Caieta
50;0101000020E61000004DDC2A8881CE0CC0A46DFC89CA964240;incanto;60046;Grenade;http://linkedplaces.org/places/60046;Granada;-3.600833;37.178056;[{"uri":"http://sws.geonames/2517117","names":["Granada"]}];;;2517117;
18;0101000020E610000000000000000035409A99999999194340;incanto;60017;Buca.Culfil;http://linkedplaces.org/places/60017;Buca Culfil;21;38.2;;;;;?
19;0101000020E61000001B2FDD2406213D40B0726891ED9C4440;incanto;60018;Buca.maris.maioris;http://linkedplaces.org/places/60018;Buca Maris Maioris;29.129;41.226;;;;;?
51;0101000020E61000000AD80E46EC93FABF5C3CBCE7C0964140;incanto;60066;One;http://linkedplaces.org/places/60066;Honaine;-1.661114;35.177762;[{"uri":"http://sws.geonames/2493812","names":["Honaïne tadjeras"]}];;;2493812;
53;0101000020E6100000D3F71A82E36041408F899466F3064040;incanto;60047;Jaffa;http://linkedplaces.org/places/60047;Jaffa;34.756943;32.054303;[{"uri":"http://sws.geonames/293253","names":["Yafo"]}];;687931;;Ioppe
54;0101000020E6100000AC8F87BEBB9B4140A8E0F08288C83F40;incanto;60048;Jerusalem;http://linkedplaces.org/places/60048;Jerusalem;35.216667;31.783333;[{"uri":"http://sws.geonames/7498240","names":["West Jerusalem"]}];;687928;;
23;0101000020E61000001344DD0720753040541C075E2D7F4340;incanto;60112;Calabre;http://linkedplaces.org/places/60112;Calabre;16.45752;38.993572;;;;;Calabria, a region of S. Italy
24;0101000020E610000038A0A52BD832374086E8103812384240;incanto;60021;Cap.Malee;http://linkedplaces.org/places/60021;Cap Malée;23.198611;36.438056;;;;;
25;0101000020E61000001F85EB51B81EF53F8FC2F5285C8F4940;incanto;60023;Caput.Doble;http://linkedplaces.org/places/60023;Caput Doble;1.32;51.12;;;79646;;Modern Dover
26;0101000020E6100000000000000000F03F0000000000404940;incanto;60022;Caput.Martin;http://linkedplaces.org/places/60022;Caput Martin;1;50.5;;;;;
27;0101000020E61000007BF5F1D07777F73F795C548B88E84440;incanto;60111;Catalugna;http://linkedplaces.org/places/60111;Catalonia;1.466667;41.816667;;;;;A region
55;0101000020E61000006B4606B98BE24140299485AFAFC14140;incanto;60049;Laodicée;http://linkedplaces.org/places/60049;Laodicée;35.769889;35.513174;[{"uri":"http://sws.geonames/173576","names":["Latakia"]}];;668290;;Laodicea
30;0101000020E6100000E603029D499327403B8A73D4D10B4540;incanto;60026;Civita.Vecchia;http://linkedplaces.org/places/60026;Civita Vecchia;11.787671;42.092341;;;514076;;
56;0101000020E610000067463F1A4E85404091BA9D7DE5514140;incanto;60050;Limassol;http://linkedplaces.org/places/60050;Lemesos;33.041446;34.639816;[{"uri":"http://sws.geonames/146384","names":["Limassol"]}];;707587;;Neapolis/Theodosias
