collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;pleiades_id;geonames_id;notes
incanto;in_60024;Cembalo;http://linkedplaces.org/places/60024;Cembalo;33.6;44.5;;;226770;;Symbolen Limen, modern Balaklava
incanto;in_60110;Barcelone;http://linkedplaces.org/places/60110;Barcelona;2.183333;41.383333;[{"uri":"http://api.geonames.org/getJSON?geonameId=3128760&username=kgeographer&style=full","names":["Barcelona"]}];;246343;;
incanto;in_60032;Cotrone;http://linkedplaces.org/places/60032;Crotone;17.116667;39.083333;[{"uri":"http://api.geonames.org/getJSON?geonameId=2524881&username=kgeographer&style=full","names":["Crotone"]}];;452317;;
incanto;in_60035;Damas;http://linkedplaces.org/places/60035;Damas;36.298378;33.512199;[{"uri":"http://api.geonames.org/getJSON?geonameId=170654&username=kgeographer&style=full","names":["Damascus"]}];;678106;;Damascus
incanto;in_60036;Djerba;http://linkedplaces.org/places/60036;Djerba;10.85;33.8;[{"uri":"http://api.geonames.org/getJSON?geonameId=2470384&username=kgeographer&style=full","names":["Houmt Souk"]}];;344383;;Girba
incanto;in_60037;Dune;http://linkedplaces.org/places/60037;Dune;2.32;51.05;[{"uri":"http://api.geonames.org/getJSON?geonameId=3020686&username=kgeographer&style=full","names":["Dunkerque"]}];;;3020686;Dunkirk?
incanto;in_60038;Durazzo;http://linkedplaces.org/places/60038;Durazzo;19.469128;41.303976;[{"uri":"http://api.geonames.org/getJSON?geonameId=3185728&username=kgeographer&style=full","names":["Durrës"]}];;481818;;Dyrrachium
incanto;in_60008;Armenia;http://linkedplaces.org/places/60008;Armenia;35.791048;36.767346;;;;;A country
incanto;in_60009;Babylone;http://linkedplaces.org/places/60009;Babylone;44.42;32.542;;;893951;;
incanto;in_60113;Barbarie;http://linkedplaces.org/places/60113;Barbarie;1.11;36.5;;;;;A region? Barbary Coast
incanto;in_60039;England;http://linkedplaces.org/places/60039;England;-0.116667;51.5;[{"uri":"http://api.geonames.org/getJSON?geonameId=2656333&username=kgeographer&style=full","names":["Barking"]}];;;;A country
incanto;in_60040;Episkopi;http://linkedplaces.org/places/60040;Episkopi;32.874638;34.660148;[{"uri":"http://api.geonames.org/getJSON?geonameId=146633&username=kgeographer&style=full","names":["Episkopí"]}];;;;probably Kourion
incanto;in_60041;Famagosta;http://linkedplaces.org/places/60041;Famagosta;33.95;35.116667;[{"uri":"http://api.geonames.org/getJSON?geonameId=146617&username=kgeographer&style=full","names":["Famagusta"]}];;;146617;
incanto;in_60012;Black.Sea;http://linkedplaces.org/places/60012;Black Sea;34;43;;;;;A sea
incanto;in_60043;Gaete;http://linkedplaces.org/places/60043;Gaete;13.575845;41.220392;[{"uri":"http://api.geonames.org/getJSON?geonameId=3176438&username=kgeographer&style=full","names":["Gaeta"]}];;432734;;Caieta
incanto;in_60046;Grenade;http://linkedplaces.org/places/60046;Granada;-3.600833;37.178056;[{"uri":"http://api.geonames.org/getJSON?geonameId=2517117&username=kgeographer&style=full","names":["Granada"]}];;;2517117;
incanto;in_60017;Buca.Culfil;http://linkedplaces.org/places/60017;Buca Culfil;21;38.2;;;;;?
incanto;in_60018;Buca.maris.maioris;http://linkedplaces.org/places/60018;Buca Maris Maioris;29.129;41.226;;;;;?
incanto;in_60066;One;http://linkedplaces.org/places/60066;Honaine;-1.661114;35.177762;[{"uri":"http://api.geonames.org/getJSON?geonameId=2493812&username=kgeographer&style=full","names":["Honaïne tadjeras"]}];;;2493812;
incanto;in_60047;Jaffa;http://linkedplaces.org/places/60047;Jaffa;34.756943;32.054303;[{"uri":"http://api.geonames.org/getJSON?geonameId=293253&username=kgeographer&style=full","names":["Yafo"]}];;687931;;Ioppe
incanto;in_60048;Jerusalem;http://linkedplaces.org/places/60048;Jerusalem;35.216667;31.783333;[{"uri":"http://api.geonames.org/getJSON?geonameId=7498240&username=kgeographer&style=full","names":["West Jerusalem"]}];;687928;;
incanto;in_60112;Calabre;http://linkedplaces.org/places/60112;Calabre;16.45752;38.993572;;;;;Calabria, a region of S. Italy
incanto;in_60021;Cap.Malee;http://linkedplaces.org/places/60021;Cap Malée;23.198611;36.438056;;;;;
incanto;in_60023;Caput.Doble;http://linkedplaces.org/places/60023;Caput Doble;1.32;51.12;;;79646;;Modern Dover
incanto;in_60022;Caput.Martin;http://linkedplaces.org/places/60022;Caput Martin;1;50.5;;;;;
incanto;in_60111;Catalugna;http://linkedplaces.org/places/60111;Catalonia;1.466667;41.816667;;;;;A region
incanto;in_60049;Laodicée;http://linkedplaces.org/places/60049;Laodicée;35.769889;35.513174;[{"uri":"http://api.geonames.org/getJSON?geonameId=173576&username=kgeographer&style=full","names":["Latakia"]}];;668290;;Laodicea
incanto;in_60026;Civita.Vecchia;http://linkedplaces.org/places/60026;Civita Vecchia;11.787671;42.092341;;;514076;;
incanto;in_60050;Limassol;http://linkedplaces.org/places/60050;Lemesos;33.041446;34.639816;[{"uri":"http://api.geonames.org/getJSON?geonameId=146384&username=kgeographer&style=full","names":["Limassol"]}];;707587;;Neapolis/Theodosias
incanto;in_60051;Lisbon;http://linkedplaces.org/places/60051;Lisbon;-9.122201;38.702488;[{"uri":"http://api.geonames.org/getJSON?geonameId=2267057&username=kgeographer&style=full","names":["Lisbon"]}];;256338;;
