nodeid;names;lng;lat
afr_1;[{"name" : "Antiochia", "id" : "tmcEGm0200_008a", "country" : "TR", "detail" : "nkn", "datastatus" : "exact"}];36.116669;36.233334
afr_100;[{"name" : "Memphis", "id" : "tmcEGm0200_001a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"}];31.25;29.866667
afr_1006;[{"name" : "loc02-tmc010509", "id" : "tmcMAm1500_015a", "country" : "MR", "detail" : "nkn", "datastatus" : "exact"}];-12.7;22.6833
afr_1007;[{"name" : "frk01-tmc010509", "id" : "tmcMAm1500_008a", "country" : "MA", "detail" : "nkn", "datastatus" : "exact"}];-8.866667;30.483334
afr_1008;[{"name" : "Mogador", "id" : "tmcMAm1500_005a", "country" : "MA", "detail" : "nkn", "datastatus" : "exact"}];-9.769722;31.513056
afr_1009;[{"name" : "Figuig", "id" : "tmcMAm1500_002a", "country" : "MA", "detail" : "nkn", "datastatus" : "exact"}];-1.226944;32.116669
afr_114;[{"name" : "Alexandria", "id" : "tmcEGm0200_005a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"}];29.9;31.2
afr_116;[{"name" : "Olbia", "id" : "tmcEGm0200_038a", "country" : "UA", "detail" : "nkn", "datastatus" : "exact"}];31.9;46.716667
afr_123;[{"name" : "Petra", "id" : "tmcEGm0200_004a", "country" : "JO", "detail" : "nkn", "datastatus" : "exact"}];35.433;30.333
afr_130;[{"name" : "Dura Europos", "id" : "tmcEGm0200_009a", "country" : "SY", "detail" : "nkn", "datastatus" : "exact"}];40.724998;34.75
afr_133;[{"name" : "Carthago", "id" : "tmcEGm0200_016a", "country" : "TN", "detail" : "nkn", "datastatus" : "exact"}];10.333333;36.866669
afr_134;[{"name" : "Coptus", "id" : "tmcEGm0200_013a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"}];32.817;26
afr_150;[{"name" : "Cyrene", "id" : "tmcEGm0200_020a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"}];21.867;32.833
