collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;variants_obj;variants
owtrad;owt_1022;Frankenau;http://linkedplaces.org/owtrad/places/owt_1022;Frankenau;16.6;47.450001;[{"uri":"http://api.geonames.org/getJSON?geonameId=2779383&username=kgeographer&style=full","names":["Frankenau"]}];;[{"id" : 4735, "variant" : "Frankenau", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Frankenau}
owtrad;owt_1026;Wilfersdorf;http://linkedplaces.org/owtrad/places/owt_1026;Wilfersdorf;16.633333;48.583332;[{"uri":"http://api.geonames.org/getJSON?geonameId=2761194&username=kgeographer&style=full","names":["Wilfersdorf"]}];;[{"id" : 4743, "variant" : "Wilfersdorf", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Wilfersdorf}
owtrad;owt_100;Memphis;http://linkedplaces.org/owtrad/places/owt_100;Memphis;31.25;29.866667;;;[{"id" : 624, "variant" : "Essaouira", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 625, "variant" : "Memphis", "source" : "no data", "precision" : "exact", "identity" : "exact"}, {"id" : 626, "variant" : "Mit Rahina", "source" : "Stone 1989:59", "precision" : "exact", "identity" : "exact"}, {"id" : 627, "variant" : "Noph", "source" : "TGN", "precision" : "exact", "identity" : "exact"}];{Essaouira,Memphis,"Mit Rahina",Noph}
owtrad;owt_1075;Vakhjir, Kowtal-e;http://linkedplaces.org/owtrad/places/owt_1075;Vakhjir, Kowtal-e;74.48333;37.083332;;;[{"id" : 4917, "variant" : "Vakhdzhir; Pereval", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4918, "variant" : "Vakhjir Davan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4919, "variant" : "Vakhjir, Kowtal-e", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4920, "variant" : "Vakhjir Pass", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4921, "variant" : "Wa-hu-lo-t'e Shan-k'ou", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4922, "variant" : "Wa-k'o-chi-erh Shan-k'ou", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4923, "variant" : "Wakh Jir, Kowtal-e", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4924, "variant" : "Wakhir Pass", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4925, "variant" : "Wakhjir Dawan", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4926, "variant" : "Wakhjir
owtrad;owt_1088;Frankfurt (2);http://linkedplaces.org/owtrad/places/owt_1088;Frankfurt (2);14.55;52.349998;;;[{"id" : 4952, "variant" : "Frankfort on the Oder", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4952, "variant" : "Frankfort on the Oder", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4952, "variant" : "Frankfort on the Oder", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4953, "variant" : "Frankfurt", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4953, "variant" : "Frankfurt", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4953, "variant" : "Frankfurt", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4954, "variant" : "Frankfurt an der Oder", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4954, "variant" : "Frankfurt an der Oder", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4954, "variant" : "Frankfurt an der Oder", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{"Frankfort on the Oder",Frankfurt,"Frankfurt an der Oder"}
owtrad;owt_836;Tatta;http://linkedplaces.org/owtrad/places/owt_836;Tatta;67.967;24.733;[{"uri":"http://api.geonames.org/getJSON?geonameId=1163582&username=kgeographer&style=full","names":["Thatta"]}];;[{"id" : 3929, "variant" : "Tatta", "source" : "TGN", "precision" : "exact", "identity" : "exact"}];{Tatta}
owtrad;owt_1117;Jablunkovsky Prusmyk;http://linkedplaces.org/owtrad/places/owt_1117;Jablunkovsky Prusmyk;18.75;49.516666;;;[{"id" : 5049, "variant" : "Jablonkowska; Przelecz", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 5050, "variant" : "Jablunka Pass", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 5051, "variant" : "Jablunkov Pass", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 5052, "variant" : "Jablunkovsky Prusmijk", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 5053, "variant" : "Jablunkovsky Prusmyk", "source" : "ADL", "precision" : "exact", "identity" : "exact"}]
owtrad;owt_1142;Turek;http://linkedplaces.org/owtrad/places/owt_1142;Turek;18.5;52.033333;[{"uri":"http://api.geonames.org/getJSON?geonameId=3082998&username=kgeographer&style=full","names":["Turek"]}];;[{"id" : 5111, "variant" : "Turek", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Turek}
owtrad;owt_1172;Pomiechow;http://linkedplaces.org/owtrad/places/owt_1172;Pomiechow;20.63334;52.43334;;;[{"id" : 5190, "variant" : "Pomiechow", "source" : "Humnicki & Lalik 1957b", "precision" : "approx", "identity" : "probable"}];{Pomiechow}
owtrad;owt_1162;Krosno;http://linkedplaces.org/owtrad/places/owt_1162;Krosno;21.783333;49.683334;[{"uri":"http://api.geonames.org/getJSON?geonameId=767470&username=kgeographer&style=full","names":["Krosno"]}];;[{"id" : 5162, "variant" : "Krosno", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Krosno}
