# title: Old World Trade Routes
# lp_id: lp_owtrad
# pub_date: 2012
# timespan: [-200,,,1820,]
# segmentType: hRoutes
# contributors: [T. M. Ciolek]
# description: "Land, river and maritime trade routes of Eurasia and Africa during the period 4,000 BCE (sic) - circa 1820 CE"
collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;dataset;dataid;uses;type;role;goods;dir;dist;travmode;travtime;dataqlty;src;probl
owtrad;afr_150-230;tmcEGm0200_030a;owt_762;owt_778;Ghadamis <> Qabis;[[9.5,30.133333],[10.116667,33.883331]];150,,,230,;;;tmcEGm0200;tmcEGm0200_030a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_031a;owt_762;owt_748;Ghadamis <> Labdah;[[9.5,30.133333],[14.311667,32.631668]];150,,,230,;;;tmcEGm0200;tmcEGm0200_031a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_032a;owt_361;owt_777;Hippone, Ruines d' <> Ouargla;[[7.733333,36.866669],[5.333333,31.950001]];150,,,230,;;;tmcEGm0200;tmcEGm0200_032a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_033a;owt_723;owt_502;Kharijah, Al Wahat al <> Siwah, Wahat;[[30.583332,25.333332],[25.666668,29.166668]];150,,,230,;;;tmcEGm0200;tmcEGm0200_033a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_034a;owt_723;owt_764;Kharijah, Al Wahat al <> Thebes;[[30.583332,25.333332],[32.683334,25.700001]];150,,,230,;;;tmcEGm0200;tmcEGm0200_034a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_035a;owt_748;owt_765;Labdah <> Sabratah;[[14.311667,32.631668],[12.484722,32.791943]];150,,,230,;;;tmcEGm0200;tmcEGm0200_035a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_036a;owt_748;owt_759;Labdah <> Zawilah;[[14.311667,32.631668],[15.116667,26.166668]];150,,,230,;;;tmcEGm0200;tmcEGm0200_036a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_037a;owt_771;owt_747;Nicopolis <> Pelusium;[[29.95,31.2],[32.516666,31.049999]];150,,,230,;;;tmcEGm0200;tmcEGm0200_037a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_038a;owt_116;owt_335;Parutyne <> Kyyiv;[[31.9,46.716667],[30.516666,50.433334]];150,,,230,;;;tmcEGm0200;tmcEGm0200_038a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_039a;owt_502;owt_740;Siwah, Wahat <> Marsa Matruh;[[25.666668,29.166668],[27.233334,31.35]];150,,,230,;;;tmcEGm0200;tmcEGm0200_039a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_040a;owt_168;owt_631;Trabzon <> Sangan;[[39.716667,41],[49.337502,36.620556]];150,,,230,;;;tmcEGm0200;tmcEGm0200_040a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_042a;owt_779;owt_748;Al Burayqah <> Labdah;[[19.583332,30.416668],[14.311667,32.631668]];150,,,230,;;;tmcEGm0200;tmcEGm0200_042a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_041a;owt_2382;owt_764;Wadi Halfa' <> Thebes;[[31.35,21.8],[32.683334,25.700001]];150,,,230,;;;tmcEGm0200;tmcEGm0200_041a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_016a;owt_133;owt_778;Qartajannah <> Qabis;[[10.333333,36.866669],[10.116667,33.883331]];150,,,230,;;;tmcEGm0200;tmcEGm0200_016a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_005a;owt_114;owt_740;Al-Iskandariyah <> Marsa Matruh;[[29.9,31.2],[27.233334,31.35]];150,,,230,;;;tmcEGm0200;tmcEGm0200_005a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_500-1800;tmcDZm0500_002a;owt_741;owt_798;Aswan <> Hala'ib, Marsa;[[32.883331,24.083332],[36.650002,22.233334]];500,,,1800,;;;tmcDZm0500;tmcDZm0500_002a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;rid;t000t;QC4;Oliver 2000:153;P000
owtrad;afr_500-1800;tmcDZm0500_003a;owt_776;owt_799;Awjilah <> Asyut;[[21.286943,29.108055],[31.183332,27.183332]];500,,,1800,;;;tmcDZm0500;tmcDZm0500_003a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;rid;t000t;QC4;Oliver 2000:153;P000
owtrad;afr_500-1800;tmcDZm0500_004a;owt_875;owt_789;Nouakchott <> Sijilmassa;[[-15.967,18.15],[-4.283333,31.283333]];500,,,1800,;;;tmcDZm0500;tmcDZm0500_004a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;rid;t000t;QC4;Oliver 2000:153;P000
owtrad;afr_500-1800;tmcDZm0500_005a;owt_796;owt_872;Bilma <> Marzuq;[[12.933333,18.683332],[13.917,25.917]];500,,,1800,;;;tmcDZm0500;tmcDZm0500_005a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;rid;t000t;QC4;Oliver 2000:153;P000
owtrad;afr_500-1800;tmcDZm0500_006a;owt_796;owt_874;Bilma <> Bir Gara;[[12.933333,18.683332],[15.9667,13.1833]];500,,,1800,;;;tmcDZm0500;tmcDZm0500_006a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;rid;t000t;QC4;Oliver 2000:153;P000
