collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;place_category;document_part;status;tags;comment
vicarello;vb0074;INTIBILIM;http://linkedplaces.org/places/vb0074;Indibilis;0.4231;40.4187;[{"uri":"http://pleiades.stoa.org/places/246439","names":['Indibilis', 'Intibilis']}];;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route3;XXIIII
vicarello;vb0073;DERTOSAM;http://linkedplaces.org/places/vb0073;Dertosa/Hibera Iulia Ilercavonia;0.5238;40.8151;[{"uri":"http://pleiades.stoa.org/places/246369","names":['Dertosa', 'Hibera Iulia Ilercavonia']}];;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route3;XXVII
vicarello;vb0072;SVB SALTVM;http://linkedplaces.org/places/vb0072;Sub Saltu;0.8689;40.9661;[{"uri":"http://pleiades.stoa.org/places/246665","names":['Sub Saltu']}];;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route3;XXXVII
vicarello;vb0071;TARRACONEM;http://linkedplaces.org/places/vb0071;Col. Tarraco;1.2581;41.1192;[{"uri":"http://pleiades.stoa.org/places/246349","names":['Col. Tarraco', 'Col. Iulia Urbs Triumphalis']}];;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route3;XXV
vicarello;vb0070;PALFVRIANAM;http://linkedplaces.org/places/vb0070;Palfuriana;1.5149;41.204;[{"uri":"http://pleiades.stoa.org/places/246551","names":['Palfuriana']}];;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;XVI
vicarello;vb0069;ANTISTIANAM;http://linkedplaces.org/places/vb0069;Antistiana;1.6479;41.3106;[{"uri":"http://pleiades.stoa.org/places/246166","names":['Antistiana']}];;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;XIII
vicarello;vb0068;AD FINES;http://linkedplaces.org/places/vb0068;(Ad) Fines;1.9277;41.4736;[{"uri":"http://pleiades.stoa.org/places/246135","names":['Ad Fines', 'Fines']}];;;Vicarello Beaker 1;VERIFIED;item, route4;XVII
vicarello;vb0044;CATVIACIAM;http://linkedplaces.org/places/vb0044;Catuiacia;5.5962;43.8576;[{"uri":"http://pleiades.stoa.org/places/148041","names":['Catuiacia']}];;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XII
vicarello;vb0043;ALAVNIVM;http://linkedplaces.org/places/vb0043;Alaunium;5.8672;43.9462;[{"uri":"http://pleiades.stoa.org/places/157800","names":['Alaunium']}];;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XVI
vicarello;vb0042;SEGVSTERONEM;http://linkedplaces.org/places/vb0042;Segustero;5.9432;44.1947;[{"uri":"http://pleiades.stoa.org/places/157925","names":['Segustero']}];;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XXIIII
vicarello;vb0041;ALABONTEM;http://linkedplaces.org/places/vb0041;Alabonte;5.944;44.386;[{"uri":"http://pleiades.stoa.org/places/167628","names":['Alabonte']}];;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XVI
vicarello;vb0035;DRVANTIVM;http://linkedplaces.org/places/vb0035;Druantium/*Alpis Cottia/Summae Alpes;6.7234;44.931;[{"uri":"http://pleiades.stoa.org/places/167743","names":['Druantium', 'Alpis Cottia', 'Summae Alpes', 'Alpis Iulia']}];;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XI
